Sep 19 1994     01:41:02 am     Elt: 00090 Seconds 
ID: No spectrum identifier defined
Memory Size: 8192 Chls  Conversion Gain: 1024  Adc Offset: 0000 Chls
 Chn    Counts  ROI
   0,        0  000
   1,        0  000
   2,        0  000
   3,        0  000
   4,        0  000
   5,        0  000
   6,        0  000
   7,        0  000
   8,        0  000
   9,        0  000
  10,        0  000
  11,        0  000
  12,        0  000
  13,        0  000
  14,        0  000
  15,        0  000
  16,       19  000
  17,       20  000
  18,       16  000
  19,       16  000
  20,        9  000
  21,       11  000
  22,       18  000
  23,       16  000
  24,       14  000
  25,       10  000
  26,       15  000
  27,       12  000
  28,       12  000
  29,       12  000
  30,       10  000
  31,        8  000
  32,       11  000
  33,       15  000
  34,       19  000
  35,       14  000
  36,       17  000
  37,       12  000
  38,       18  000
  39,       14  000
  40,       15  000
  41,       21  000
  42,       16  000
  43,       25  000
  44,       20  000
  45,       25  000
  46,       22  000
  47,       26  000
  48,       21  000
  49,       42  000
  50,       34  000
  51,       29  000
  52,       23  000
  53,       29  000
  54,       27  000
  55,       40  000
  56,       30  000
  57,       34  000
  58,       29  000
  59,       38  000
  60,       35  000
  61,       28  000
  62,       45  000
  63,       40  000
  64,       55  000
  65,       43  000
  66,       44  000
  67,       41  000
  68,       47  000
  69,       43  000
  70,       39  000
  71,       45  000
  72,       37  000
  73,       55  000
  74,       57  000
  75,       72  000
  76,      128  000
  77,      150  000
  78,      277  000
  79,      349  000
  80,      391  000
  81,      490  000
  82,      437  000
  83,      461  000
  84,      423  000
  85,      361  000
  86,      383  000
  87,      351  000
  88,      363  000
  89,      375  000
  90,      367  000
  91,      379  000
  92,      405  000
  93,      344  000
  94,      385  000
  95,      400  000
  96,      374  000
  97,      349  000
  98,      372  000
  99,      334  000
 100,      304  000
 101,      348  000
 102,      351  000
 103,      302  000
 104,      305  000
 105,      339  000
 106,      345  000
 107,      317  000
 108,      284  000
 109,      281  000
 110,      281  000
 111,      284  000
 112,      289  000
 113,      285  000
 114,      300  000
 115,      349  000
 116,      428  000
 117,      657  000
 118,      911  000
 119,     1240  000
 120,     1125  000
 121,      782  000
 122,      531  000
 123,      448  000
 124,      406  000
 125,      422  000
 126,      445  000
 127,      471  000
 128,      470  000
 129,      540  000
 130,      602  000
 131,      754  000
 132,      973  000
 133,     1339  000
 134,     1888  000
 135,     2079  000
 136,     1742  000
 137,     1180  000
 138,      905  000
 139,      796  000
 140,      707  000
 141,      757  000
 142,      784  000
 143,      920  000
 144,     1148  000
 145,     1661  000
 146,     2955  000
 147,     5110  000
 148,     8902  000
 149,    15837  000
 150,    24770  000
 151,    29689  000
 152,    23896  000
 153,    13246  000
 154,     5761  000
 155,     2759  000
 156,     1572  000
 157,     1113  000
 158,      951  000
 159,      919  000
 160,      854  000
 161,      914  000
 162,     1167  000
 163,     1566  000
 164,     2233  000
 165,     3525  000
 166,     4651  000
 167,     4823  000
 168,     3804  000
 169,     2255  000
 170,     1328  000
 171,      853  000
 172,      721  000
 173,      634  000
 174,      554  000
 175,      558  000
 176,      625  000
 177,      739  000
 178,      919  000
 179,     1249  000
 180,     1751  000
 181,     2584  000
 182,     3728  000
 183,     4637  000
 184,     4483  000
 185,     3416  000
 186,     2260  000
 187,     1421  000
 188,     1002  000
 189,      842  000
 190,      822  000
 191,      826  000
 192,      992  000
 193,     1354  000
 194,     1862  000
 195,     2850  000
 196,     4469  000
 197,     7072  000
 198,    10298  000
 199,    13619  000
 200,    13451  000
 201,    10294  000
 202,     6100  000
 203,     3089  000
 204,     1757  000
 205,     1206  000
 206,      918  000
 207,      792  000
 208,      692  000
 209,      712  000
 210,      747  000
 211,      762  000
 212,      945  000
 213,     1181  000
 214,     1528  000
 215,     2063  000
 216,     2471  000
 217,     2398  000
 218,     1940  000
 219,     1344  000
 220,      906  000
 221,      718  000
 222,      631  000
 223,      613  000
 224,      639  000
 225,      730  000
 226,      901  000
 227,     1127  000
 228,     1541  000
 229,     2239  000
 230,     3314  000
 231,     4883  000
 232,     5965  000
 233,     6267  000
 234,     5280  000
 235,     3540  000
 236,     2069  000
 237,     1199  000
 238,      807  000
 239,      650  000
 240,      572  000
 241,      548  000
 242,      516  000
 243,      612  000
 244,      602  000
 245,      793  000
 246,      984  000
 247,     1376  000
 248,     1862  000
 249,     2185  000
 250,     2241  000
 251,     1977  000
 252,     1416  000
 253,     1027  000
 254,      711  000
 255,      602  000
 256,      514  000
 257,      450  000
 258,      448  000
 259,      438  000
 260,      461  000
 261,      469  000
 262,      447  000
 263,      496  000
 264,      554  000
 265,      619  000
 266,      624  000
 267,      624  000
 268,      684  000
 269,      580  000
 270,      489  000
 271,      420  000
 272,      394  000
 273,      390  000
 274,      380  000
 275,      412  000
 276,      403  000
 277,      446  000
 278,      495  000
 279,      588  000
 280,      677  000
 281,      847  000
 282,     1172  000
 283,     1240  000
 284,     1201  000
 285,     1054  000
 286,      761  000
 287,      550  000
 288,      419  000
 289,      310  000
 290,      330  000
 291,      288  000
 292,      278  000
 293,      277  000
 294,      260  000
 295,      277  000
 296,      275  000
 297,      363  000
 298,      370  000
 299,      486  000
 300,      520  000
 301,      602  000
 302,      559  000
 303,      511  000
 304,      389  000
 305,      326  000
 306,      255  000
 307,      258  000
 308,      226  000
 309,      251  000
 310,      242  000
 311,      221  000
 312,      264  000
 313,      237  000
 314,      239  000
 315,      226  000
 316,      258  000
 317,      288  000
 318,      277  000
 319,      284  000
 320,      263  000
 321,      249  000
 322,      204  000
 323,      195  000
 324,      180  000
 325,      192  000
 326,      184  000
 327,      214  000
 328,      230  000
 329,      200  000
 330,      245  000
 331,      249  000
 332,      277  000
 333,      358  000
 334,      392  000
 335,      470  000
 336,      485  000
 337,      508  000
 338,      385  000
 339,      359  000
 340,      286  000
 341,      245  000
 342,      212  000
 343,      198  000
 344,      183  000
 345,      179  000
 346,      179  000
 347,      158  000
 348,      177  000
 349,      187  000
 350,      194  000
 351,      219  000
 352,      263  000
 353,      301  000
 354,      279  000
 355,      323  000
 356,      287  000
 357,      260  000
 358,      226  000
 359,      225  000
 360,      200  000
 361,      202  000
 362,      205  000
 363,      193  000
 364,      200  000
 365,      229  000
 366,      252  000
 367,      302  000
 368,      317  000
 369,      386  000
 370,      414  000
 371,      430  000
 372,      380  000
 373,      334  000
 374,      293  000
 375,      240  000
 376,      205  000
 377,      184  000
 378,      151  000
 379,      165  000
 380,      164  000
 381,      174  000
 382,      162  000
 383,      210  000
 384,      197  000
 385,      237  000
 386,      231  000
 387,      266  000
 388,      267  000
 389,      296  000
 390,      246  000
 391,      185  000
 392,      181  000
 393,      157  000
 394,      129  000
 395,      132  000
 396,      112  000
 397,      111  000
 398,      112  000
 399,      104  000
 400,      123  000
 401,       98  000
 402,      111  000
 403,      142  000
 404,      139  000
 405,      135  000
 406,      149  000
 407,      165  000
 408,      128  000
 409,      111  000
 410,       94  000
 411,       97  000
 412,      101  000
